Statistical profiling result from isolate-0x103001400-v8.log, (6927120 ticks, 766593 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    438    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/sqlite3/lib/sqlite3.js:85:50
    423    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/sqlite_pool.js:149:20
    420    0.0%    0.0%  Builtin: InterpreterPushUndefinedAndArgsThenCall
    416    0.0%    0.0%  LoadGlobalIC: A load global IC from the snapshot {1}
    412    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/joint_storage.js:64:36
    408    0.0%    0.0%  LazyCompile: ~cleanup /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/ws/lib/PerMessageDeflate.js:271:19
    406    0.0%    0.0%  LazyCompile: *takeConnectionFromPool /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/sqlite_pool.js:163:33
    404    0.0%    0.0%  LazyCompile: ~InsertionSort native array.js:542:23
    402    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:225:37
    399    0.0%    0.0%  LazyCompile: *maybeReadMore _stream_readable.js:524:23
    391    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot {1}
    385    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/sqlite_pool.js:149:20
    384    0.0%    0.0%  LazyCompile: *readUnitProps /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/storage.js:703:23
    382    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:166:41
    376    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/ws/lib/Receiver.js:508:84
    372    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/ws/lib/PerMessageDeflate.js:307:31
    371    0.0%    0.0%  Builtin: Add {1}
    369    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/catchup.js:407:86
    367    0.0%    0.0%  LazyCompile: ~onData /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/ws/lib/PerMessageDeflate.js:321:18
    365    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:2900:40
    364    0.0%    0.0%  Builtin: GreaterThan
    361    0.0%    0.0%  LazyCompile: *nextTick internal/process/next_tick.js:245:20
    356    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/writer.js:436:59
    353    0.0%    0.0%  LazyCompile: *tryOnImmediate timers.js:747:24
    352    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/ws/lib/Sender.js:117:37
    350    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/async/lib/async.js:717:32
    348    0.0%    0.0%  Builtin: ArrayPrototypeValues
    347    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:436:104
    340    0.0%    0.0%  LazyCompile: *emit events.js:156:44
